Symbol,text
AFL,"About AFLAC IncorporatedAflac Incorporated is a holding company. The Company is involved in supplemental health and life insurance, which is marketed and administered through its subsidiary, American Family Life Assurance Company of Columbus (Aflac). The Company's insurance business consists of two segments: Aflac Japan and Aflac U.S. Aflac Japan are designed to help consumers pay for medical and non-medical costs that are not reimbursed under Japan's national health insurance system. It offers insurance products, such as cancer, medical, and income support insurance. Its protection products include whole life, GIFT, and WAYS and Child Endowment. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. It offers cancer plans, critical illness plans, and critical care and recovery plans."
A,"About Agilent Technologies IncAgilent Technologies, Inc. provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, diagnostics and applied chemical markets. The Company’s business segments include life sciences and applied markets business, diagnostics and genomics business, and Agilent CrossLab business. The life sciences and applied markets business segment provides application-focused solutions that include instruments and software. The Company's diagnostics and genomics business segment includes the genomics, nucleic acid contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership and biomolecular analysis businesses. The Company's Agilent CrossLab business segment spans the entire lab with its consumables and services portfolio."
APD,"About Air Products & Chemicals, Inc.Air Products and Chemicals, Inc., is an industrial gases company. The Company's Industrial Gases business provides atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. The Company is also a supplier of liquefied natural gas process technology and equipment. The Company operates through five segments: Industrial Gases-Americas, Industrial Gases-Europe, Middle East, and Africa (EMEA), Industrial Gases-Asia, Industrial Gases-Global, and Corporate and other."
AKAM,"About Akamai Technologies, Inc.Akamai Technologies, Inc. is engaged in providing cloud services for delivering, optimizing and securing content and business applications over the Internet. The Company is involved in offering content delivery network (CDN) services. Its services include the delivery of content, applications and software over the Internet, as well as mobile and security solutions. Its solutions include Performance and Security Solutions, Media Delivery Solutions, and Service and Support Solutions. Its Performance and Security Solutions include Web and Mobile Performance Solutions, Cloud Security Solutions, Enterprise Solutions and Network Operator Solutions. The Media Delivery Solutions offerings include Adaptive Delivery solutions, Download Delivery offerings, Infinite Media Acceleration solutions Media Services and Media Analytics. It offers a range of professional services and solutions designed to assist its customers with integrating, configuring, optimizing and managing its core offerings."
ALK,"About Alaska Air Group, Inc.Alaska Air Group, Inc. is the holding company of Alaska Airlines (Alaska), Virgin America Inc., Horizon Air (Horizon) and other business units. The Company operates through three segments: Mainline, Regional and Horizon. Its Mainline segment includes Alaska's and Virgin America's scheduled air transportation for passengers and cargo throughout the United States, and in parts of Canada, Mexico, Costa Rica and Cuba. Its Regional segment includes Horizon's and other third-party carriers' scheduled air transportation for passengers across a shorter distance network within the United States under capacity purchased arrangements (CPAs). Its Horizon segment includes the capacity sold to Alaska under CPA. Alaska and Virgin America operate fleets of narrowbody passenger jets. As of December 31, 2016, it maintained two frequent flyer plans: the Alaska Airlines Mileage Plan and the Virgin America Elevate."
ALB,"About Albemarle CorporationAlbemarle Corporation is a global developer, manufacturer and marketer of highly-engineered specialty chemicals. The Company operates through three segments: Lithium, Bromine Specialties and Catalysts. The Lithium segment develops lithium-based materials for a wide range of industries and end markets. It develops and manufactures a broad range of basic lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and value-added lithium specialties and reagents. The Company's Bromine Specialties segment is focused on bromine and bromine-based business, which includes products used in fire safety solutions and other specialty chemicals applications. The Catalysts segment consists of three main product lines: Clean Fuels Technologies, which is primarily composed of hydroprocessing catalysts (HPC) together with isomerization and akylation catalysts; fluidized catalytic cracking (FCC) catalysts and additives; and performance catalyst solutions (PCS)."
ARE,"About Alexandria Real Estate Equities IncAlexandria Real Estate Equities, Inc. is a real estate investment (REIT). The Company is engaged in the business of providing space for lease to the life science and technology industries. It focuses on collaborative life science and technology campuses. It develops urban cluster campuses and ecosystems. As of December 31, 2016, the Company had 199 properties in North America. As of December 31, 2016, its asset base in North America consisted of 25.2 million square feet, including 19.9 million rentable square feet/foot (RSF) of operating properties, and development and redevelopment of under construction or pre-construction, as well as 5.3 million square feet of future ground-up development projects. Its properties are located in various areas, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland and Research Triangle Park. Its properties include Alexandria Technology Square, Alexandria Park at 128 and Alexandria Technology Center-Gateway."
ALXN,"About Alexion Pharmaceuticals, Inc.Alexion Pharmaceuticals, Inc. is a biopharmaceutical company. The Company is focused on the development and commercialization of therapeutic products. The Company’s marketed products include SOLIRIS (eculizumab), Strensiq (asfotase alfa), Kanuma (sebelipase alfa), ULTOMIRIS, Andexxa and Ondexxya. The Company’s clinical development programs include ALXN1210, ALXN1810, ALXN1720, ALXN1830, ALXN1840 and ABY-039. The Company’s ULTOMIRIS is a long-acting C5 inhibitor discovered and developed by Alexion that works by inhibiting the C5 protein in the terminal complement cascade. Its SOLIRIS is an C5 inhibitor discovered and developed by Alexion that works by inhibiting the C5 protein in the terminal complement cascade. SOLIRIS is a humanized monoclonal antibody that effectively blocks terminal complement activity at the doses prescribed. "
ALGN,"About Align Technology, Inc.Align Technology, Inc. designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and computer-aided design/computer-aided manufacturing (CAD/CAM) digital services used in dentistry, orthodontics and dental records storage. The Company operates through two segments: Clear Aligner segment and Scanner and Services (Scanner) segment. The Clear Aligner segment consists of its Invisalign System, which includes Invisalign Full, Teen and Assist (Comprehensive Products), Express/Lite (Non-Comprehensive Products) and Vivera Retainers, along with its training and ancillary products for treating malocclusion (Non-Case). The Scanner segment consists of intra-oral scanning systems and other services available with the intra-oral scanners that provide digital alternatives to the traditional cast models. The Scanner segment includes its iTero scanner and OrthoCAD services."
ALLE,"About Allegion PLCAllegion Public Limited Company is a provider of security products and solutions. The Company offers a portfolio of mechanical and electronic security products across a range of brands. Its segments include Americas; Europe, Middle East, India and Africa (EMEIA), and Asia Pacific. Its products include door closers and controls; door and door frames (steel); electronic security products; electronic and biometric access control systems; exit devices; locks, locksets, portable locks and key systems; time, attendance and workforce productivity systems, and other accessories. It sells a range of security products and solutions for end users in commercial, institutional and residential facilities across the world, including into the education, healthcare, government, hospitality, commercial office and single and multi-family residential markets. As of December 31, 2016, it manufactured and sold mechanical and electronic security products and solutions in approximately 130 countries."
LNT,"About Alliant Energy CorporationAlliant Energy Corporation operates as a regulated investor-owned public utility holding company. The Company's segments include Utility and Non-regulated, Parent and Other. The Utility segment includes the operations of Interstate Power and Light Company (IPL) and Wisconsin Power and Light Company (WPL), which serve retail customers in Iowa and Wisconsin. The Utility segment includes utility electric operations, utility gas operations and utility other, which includes steam operations and the unallocated portions of the utility business. Its Non-regulated, Parent and Other segment includes the operations of Alliant Energy Resources, LLC and its subsidiaries; Alliant Energy Corporate Services, Inc. (Corporate Services); the Alliant Energy parent company, and any Alliant Energy parent company consolidating adjustments. IPL and WPL own a portfolio of electric generating units located in Iowa, Wisconsin and Minnesota with a fuel mix, including coal, natural gas and renewable resources."
ALL,"About Allstate CorpAllstate Corporation (Allstate) is a holding company for Allstate Insurance Company. The Company's business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and other subsidiaries. The Company is engaged in the property-casualty insurance business and the life insurance, accident and health insurance and protection plans that cover electronic devices and personal identities. Its segments include Allstate Protection, Allstate Life, Allstate Benefits, Service Businesses, Allstate Annuities, Discontinued Lines and Coverages, and Corporate and Other. The Company offers its products in the United States and Canada."
GOOGL,"About Alphabet IncAlphabet Inc. is a holding company. The Company's segments include Google and Other Bets. The Company's Google segment includes Google Services and Google Cloud. Its Google Services products and platforms include Android, Chrome, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. Its Google Cloud provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Its Google Cloud Platform enables developers to build, test, and deploy applications on its infrastructure. Its Google Workspace collaboration tools include applications like Gmail, Docs, Drive, Calendar, Meet. The Google segment is engaged in advertising, sales of digital content, applications and cloud offerings. Its hardware products include Pixel phones, Chromecast with Google TV and the Google Nest Hub smart display. The Other Bets segment is engaged in the sales of Internet and television services, licensing and research and development (R&D) services."
MO,"About Altria Group IncAltria Group, Inc. is a holding company. The Company's segments include smokeable products, smokeless products and wine. The Company's subsidiaries include Philip Morris USA Inc. (PM USA), which is engaged in the manufacture and sale of cigarettes in the United States; John Middleton Co. (Middleton), which is engaged in the manufacture and sale of machine-made cigars and pipe tobacco, and UST LLC (UST), which, through its subsidiaries, including U.S. Smokeless Tobacco Company LLC (USSTC) and Ste. Michelle Wine Estates Ltd. (Ste. Michelle), is engaged in the manufacture and sale of smokeless tobacco products and wine. Its other operating companies include Nu Mark LLC (Nu Mark), a subsidiary that is engaged in the manufacture and sale of tobacco products, and Philip Morris Capital Corporation (PMCC), a subsidiary that maintains a portfolio of finance assets. Other subsidiaries include Altria Group Distribution Company and Altria Client Services LLC."
AMZN,"About Amazon.com, Inc.Amazon.com, Inc. offers a range of products and services through its Websites. The Company's products include merchandise and content that it purchases for resale from vendors and those offered by third-party sellers. It also manufactures and sells electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, and other devices and it develops and produce media content. It operates through three segments: North America, International and Amazon Web Services (AWS). AWS offers a set of technology services, including compute, storage, database, analytics, and machine learning. In addition, the Company provides services, such as advertising to sellers, vendors, publishers, authors, and others, through programs such as sponsored ads, display, and video advertising. It also offers Amazon Prime, a membership program that includes free shipping, access to streaming of various movies and television (TV) episodes, including Amazon Original content."
AMCR,"About Amcor PLCAmcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications."
AEE,"About Ameren CorpAmeren Corporation (Ameren) is a utility holding company. The Company's primary assets are its equity interests in its subsidiaries, including Ameren Missouri, Ameren Illinois and Ameren Transmission Company (ATXI). The Company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas and Ameren Transmission. The Ameren Missouri segment includes all of the operations of Ameren Missouri. The Ameren Illinois Electric Distribution segment consists of the electric distribution business of Ameren Illinois. The Ameren Illinois Natural Gas segment consists of the natural gas business of Ameren Illinois. The ATXI segment is primarily composed of the aggregated electric transmission businesses of Ameren Illinois and ATXI."
AAL,"About American Airlines Group IncAmerican Airlines Group Inc. is a holding company. The Company's primary business activity is the operation of a network air carrier, providing scheduled air transportation for passengers and cargo. The Company operates through American segment, which provides air transportation for passengers and cargo. The Company's cargo division provides a range of freight and mail services with facilities and interline connections available across the globe. Together with its regional airline subsidiaries and third-party regional carriers operating as American Eagle, its airline operated an average of nearly 6,700 flights per day to nearly 350 destinations in more than 50 countries, principally from its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, District of Columbia, as of December 31, 2016. In the fiscal year ended December 31, 2016, approximately 199 million passengers boarded its mainline and regional flights."
AEP,"About American Electric Power Company IncAmerican Electric Power Company, Inc. (AEP) is a public utility holding company that owns, directly or indirectly, all of the outstanding common stock of its public utility subsidiaries and varying percentages of other subsidiaries. The service areas of the Company's public utility subsidiaries cover the states of Arkansas, Indiana, Kentucky, Louisiana, Michigan, Ohio, Oklahoma, Tennessee, Texas, Virginia and West Virginia. The Company's segments include Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing. AEP's vertically integrated utility operations are engaged in the generation, transmission and distribution of electricity for sale to retail and wholesale customers. Transmission and Distribution Utilities segment consists of the transmission and distribution of electricity for sale to retail and wholesale customers. AEP Transmission Holdco develops, constructs and operates transmission facilities."
AXP,"About American Express CompanyAmerican Express Company, together with its subsidiaries, is a global services company. The Company's principal products and services are charge and credit card products, and travel-related services offered to consumers and businesses around the world. The Company's segments include the Global Consumer Services Group (GCSG), Global Merchant and Network Services (GMNS), and Global Commercial Services (GCS). The Company's range of products and services includes network services; merchant acquisition and processing, servicing and settlement, and point-of-sale marketing and information products and services for merchants; other fee services, including fraud prevention services and the design and operation of customer loyalty programs; expense management products and services, and stored value/prepaid products."
AIG,"About American International Group IncAmerican International Group, Inc. is a global insurance company. The Company provides a range of property casualty insurance, life insurance, retirement solutions and other financial services to customers. Its diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security. The Company’s segments consist of General Insurance, Life and Retirement, Other Operations, and a Legacy Portfolio. General Insurance segment consists of two modules: North America and International. Life and Retirement segment consists of four modules: Individual Retirement, Group Retirement, Life Insurance and Institutional Markets. Other Operations includes Blackboard U.S. Holdings, Inc., which is the Company’s technology-driven subsidiary. Legacy Portfolio consists of its run-off insurance lines and legacy investments."
AMT,"About American Tower CorpAmerican Tower Corporation (ATC) is a holding company. The Company operates as a real estate investment trust (REIT), which owns, operates and develops multitenant communications real estate. ATC's segments include U.S. property, Asia property, EMEA property, Latin America property, Services and Other. Its primary business is property operations, which include the leasing of space on communications sites to wireless service providers, radio and television broadcast companies, wireless data providers, government agencies and municipalities, and tenants in various other industries. Its U.S. property segment includes operations in the United States. Its Asia property segment includes operations in India. The EMEA property segment includes operations in Germany, Ghana, Nigeria, South Africa and Uganda. The Latin America property segment includes operations in Brazil, Chile, Colombia, Costa Rica, Mexico and Peru. Its services segment offers tower-related services in the United States."
AWK,"About American Water Works Company IncAmerican Water Works Company, Inc. is a water and wastewater utility company. The Company's businesses include Market-Based Businesses and Regulated Businesses. Its Market-Based Businesses include the operating segments: Homeowner Services Group and Military Services Group. Homeowner Services Group provides various warranty protection programs and other home services to residential customers. Military Services Group enters long-term contracts with the United States government to provide water and wastewater services on various military installations. The Company also has approximately five contracts with municipal customers to operate and manage water and wastewater facilities and provide other related services through its Contract Services Group. The Regulated Businesses includes the ownership of utilities that provide water and wastewater services to residential, commercial, industrial, public authority, fire service and sale for resale customers."
AMP,"About Ameriprise Financial, Inc.Ameriprise Financial, Inc. is a holding company. The Company offers a range of financial planning and advice products and services designed to achieve individual and institutional clients’ financial objectives. It operates through segments, including Advice & Wealth Management, Asset Management and Retirement & Protection Solutions. It offers products and services under brands, including Ameriprise Financial, Columbia Threadneedle Investments and RiverSource. Ameriprise Financial brand includes its advisor network and certain of its retail products and services. Its Columbia Threadneedle Investments brand represents the combined capabilities, resources and reach of Columbia Management Investment Advisers, LLC (Columbia Management) and Threadneedle. It uses the RiverSource brand for its annuity and protection products issued by RiverSource Life Insurance Company (RiverSource Life) and RiverSource Life Insurance Co. of New York (RiverSource Life of NY)."
ABC,"About AmerisourceBergen Corp.AmerisourceBergen Corporation is a pharmaceutical sourcing and distribution services company. The Company's segments include Pharmaceutical Distribution Services and Other. The Company provides services to healthcare providers, and pharmaceutical and biotech manufacturers. Its Pharmaceutical Distribution Services Segment serves healthcare providers in the pharmaceutical supply channel, the Pharmaceutical Distribution segment's operations provide drug distribution and related services. The Other segment consists of the operations of various segments, including the AmerisourceBergen Consulting Services (ABCS), the World Courier Group, Inc. (World Courier) and the MWI Veterinary Supply, Inc. (MWI). "
AME,"About AMETEK, Inc.AMETEK, Inc. (AMETEK), is a manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America. The Company markets its products across the world through two groups: the Electronic Instruments Group (EIG) and the Electromechanical Group (EMG). EIG provides designing and manufacturing of instruments for the process, power and industrial, and aerospace markets. EMG supplies precision motion control solutions, thermal management systems, specialty metals and electrical interconnects. Its end markets include aerospace and defense, medical, automation and other industrial markets. The Company also provides radio frequency and microwave test and measurement solutions and services."
AMGN,"About Amgen, Inc.Amgen Inc. is a biotechnology company. The Company discovers, develops, manufactures and delivers various human therapeutics. It operates in human therapeutics segment. Its marketed products portfolio includes Neulasta (pegfilgrastim); erythropoiesis-stimulating agents (ESAs), such as Aranesp (darbepoetin alfa) and EPOGEN (epoetin alfa); Sensipar/Mimpara (cinacalcet); XGEVA (denosumab); Prolia (denosumab); NEUPOGEN (filgrastim), and other marketed products, such as KYPROLIS (carfilzomib), Vectibix (panitumumab), Nplate (romiplostim), Repatha (evolocumab), BLINCYTO (blinatumomab), IMLYGIC (talimogene laherparepvec) and Corlanor (ivabradine). It focuses on human therapeutics for the treatment of serious illness in the areas of oncology/hematology, cardiovascular disease and neuroscience. Its product candidates in Phase III include Erenumab for episodic migraine, Aranesp for myelodysplastic syndromes, BLINCYTO for acute lymphoblastic leukemia and IMLYGIC for metastatic melanoma."
APH,"About Amphenol CorporationAmphenol Corporation (Amphenol) is a designer, manufacturer and marketer of electrical, electronic and fiber optic connectors, interconnect systems, antennas, sensors and sensor- based products, and coaxial and specialty cable. The Company operates through two segments, which include Interconnect Products and Assemblies, and Cable Products and Solutions. Its Interconnect Product and Assemblies segment primarily is engaged in designing, manufacturing and marketing a range of connector and connector systems, value-add products, and other products, including antennas and sensors, used in a range of applications in various set of end markets. Its Cable Products and Solutions segment primarily engages in designing, manufacturing and marketing cables, value-added products and components for use primarily in the broadband communications and information technology markets. It designs, manufactures and assembles its products at facilities in the Americas, Europe, Asia, Australia and Africa."
ADI,"About Analog Devices, Inc.Analog Devices, Inc. (Analog Devices) designs, manufactures and markets a portfolio of solutions that leverage high-performance analog, mixed-signal and digital signal processing technology, including integrated circuits (ICs), algorithms, software and subsystems. Its products include Analog Products, Converters, Amplifiers/Radio Frequency, Other Analog, Power Management and Reference, and Digital Signal Processing Products. The Company is a supplier of data converter products. The Company is a supplier of high-performance amplifiers. Its analog product line also includes products of high performance radio frequency (RF) ICs. The Company's DSPs are used for high-speed numeric calculations. The Company offers its products for applications in various end markets, such as industrial, automotive, consumer and communications. The Company operates in the United States, Rest of North/South America, Europe, Japan and China."
ANSS,"About ANSYS, Inc.ANSYS, Inc. (ANSYS) develops and markets engineering simulation software and services used by engineers, designers, researchers and students across a range of industries and academia, including aerospace and defense, automotive, industrial equipment, electronics, biomedical, energy, materials and chemical processing, and semiconductors. The Company focuses on the development of open and flexible solutions that enable users to analyze designs directly on the desktop, providing a common platform for product development, from design concept to final-stage testing and validation. The Company distributes its ANSYS suite of simulation technologies through a network of independent resellers and distributors, and direct sales offices in various locations. Its product portfolio consists of Simulation Platform: ANSYS Workbench, Structures, Fluids, Electronics, Semiconductors, Multiphysics, AIM, Embedded Software, Systems, Three Dimensional (3-D) Direct Modeling and Academic."
ANTM,"About Anthem IncAnthem, Inc. is a health benefits company. The Company operates through four segments: Commercial & Specialty Business, Government Business, IngenioRx and Other. It offers a spectrum of network-based managed care plans to large and small employer, individual, Medicaid and Medicare markets. Its managed care plans include preferred provider organizations; health maintenance organizations; point-of-service plans; indemnity plans and other hybrid plans, including consumer-driven health plans; and hospital only and limited benefit products. It also provides an array of managed care services to self-funded customers, including claims processing, underwriting, stop loss insurance, actuarial services, provider network access, medical cost management, disease management, wellness programs and other administrative services. It provides an array of specialty and other insurance products and services, such as dental, vision, life and disability insurance benefits and radiology benefit management."
AON,"About Aon PLCAon PLC is a global professional services company. The Company provides advice and solutions to clients focused on risk, retirement and health. Its principal products and services include commercial risk solutions, reinsurance solutions, retirement solutions, health solutions and data & analytic services. Commercial risk solutions includes retail brokerage, cyber solutions, global risk consulting and captives. Reinsurance solutions includes treaty and facultative reinsurance and capital markets. Retirement solutions includes core retirement, investment consulting and human capital. Health solutions includes health and benefits brokerage and health care exchanges. Data & analytic services includes Affinity, Aon InPoint and ReView. The Company focuses on various market segments, including individuals, mid-market companies and global companies."
AOS,"About A O Smith CorpA. O. Smith Corporation operates through two segments: North America and Rest of World. The Company's Rest of World segment primarily consists of China, Europe and India. Both segments manufacture and market comprehensive lines of residential and commercial gas, gas tankless and electric water heaters, as well as water treatment products. Both segments primarily manufacture and market in their respective regions of the world. Its North America segment manufactures and globally markets specialty commercial water heating equipment, condensing and non-condensing boilers and water systems tanks. It also manufactures and markets in-home air purification products in China. It serves residential and commercial end markets in North America with a range of products, which include water heaters, boilers and other. It supplies water heaters to the residential market in China with a broad product offering, including electric, gas, gas tankless, heat pump and solar units, as well as combi boilers."
APA,"About APA Corp (US)APA Corporation is an energy holding company. The Company operates through its subsidiaries: Apache Corporation and APA Corporation Suriname. It explores for and produces oil and gas. The Company's production segments include in the United States, Egypt's Western Desert and the United Kingdom's North Sea and Suriname. The Company's United States operations and interests are focused in the Permian Basin. The Company also includes assets in the East Texas Eagle Ford/Austin Chalk, the Gulf Coast and the Gulf of Mexico. Egypt includes onshore conventional assets located in Egypt's Western Desert; and the North Sea, which includes offshore assets based in the United Kingdom. Suriname includes offshore exploration activities."
AAPL,"About Apple IncApple Inc. designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. The Company’s products include iPhone, Mac, iPad, and Wearables, Home and Accessories. iPhone is the Company’s line of smartphones based on its iOS operating system. Mac is the Company’s line of personal computers based on its macOS operating system. iPad is the Company’s line of multi-purpose tablets based on its iPadOS operating system. Wearables, Home and Accessories includes AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch and other Apple-branded and third-party accessories. AirPods are the Company’s wireless headphones that interact with Siri. Apple Watch is the Company’s line of smart watches. Its services include Advertising, AppleCare, Cloud Services, Digital Content and Payment Services. Its customers are primarily in the consumer, small and mid-sized business, education, enterprise and government markets."
